法人等の種類,法人等の名称(ふりがな),法人等の名称,法人等の主たる事務所の所在地_郵便番号,法人等の主たる事務所の所在地_都道府県,法人等の主たる事務所の所在地_市区町村,法人等の主たる事務所の所在地_町名・番地,法人等の主たる事務所の所在地_建物名・部屋番号等,法人等の連絡先_電話番号,法人等の連絡先_その他連絡先,事業者番号,法人が教育・保育を提供し、又は提供しようとする施設等の所在地を管轄する都道府県の区域内に所在する当該法人が設置する教育・保育施設及び当該法人が行う地域型保育事業,施設類型,施設の名称(ふりがな),施設の名称,事業所番号,郵便番号,施設の所在地 都道府県,施設の所在地 市区町村,施設の所在地 町名・番地,施設の所在地 建物名・部屋番号等,施設の連絡先 電話番号,施設の連絡先 その他連絡先,事業の認可年月日,事業の開始年月日,事業の確認年月日,連携施設(01)_連携先施設名,連携施設(01)_連携内容,連携施設(02)_連携先施設名,連携施設(02)_連携内容,連携施設(03)_連携先施設名,連携施設(03)_連携内容,連携施設(04)_連携先施設名,連携施設(04)_連携内容,連携施設(05)_連携先施設名,連携施設(05)_連携内容,連携施設(06)_連携先施設名,連携施設(06)_連携内容,連携施設(07)_連携先施設名,連携施設(07)_連携内容,連携施設(08)_連携先施設名,連携施設(08)_連携内容,連携施設(09)_連携先施設名,連携施設(09)_連携内容,連携施設(10)_連携先施設名,連携施設(10)_連携内容,連携施設(11)_連携先施設名,連携施設(11)_連携内容,連携施設(12)_連携先施設名,連携施設(12)_連携内容,連携施設(13)_連携先施設名,連携施設(13)_連携内容,連携施設(14)_連携先施設名,連携施設(14)_連携内容,連携施設(15)_連携先施設名,連携施設(15)_連携内容,連携施設(16)_連携先施設名,連携施設(16)_連携内容,連携施設(17)_連携先施設名,連携施設(17)_連携内容,連携施設(18)_連携先施設名,連携施設(18)_連携内容,連携施設(19)_連携先施設名,連携施設(19)_連携内容,連携施設(20)_連携先施設名,連携施設(20)_連携内容,連携施設(21)_連携先施設名,連携施設(21)_連携内容,連携施設(22)_連携先施設名,連携施設(22)_連携内容,連携施設(23)_連携先施設名,連携施設(23)_連携内容,連携施設(24)_連携先施設名,連携施設(24)_連携内容,連携施設(25)_連携先施設名,連携施設(25)_連携内容,連携施設(26)_連携先施設名,連携施設(26)_連携内容,連携施設(27)_連携先施設名,連携施設(27)_連携内容,連携施設(28)_連携先施設名,連携施設(28)_連携内容,連携施設(29)_連携先施設名,連携施設(29)_連携内容,連携施設(30)_連携先施設名,連携施設(30)_連携内容,連携施設(31)_連携先施設名,連携施設(31)_連携内容,連携施設(32)_連携先施設名,連携施設(32)_連携内容,連携施設(33)_連携先施設名,連携施設(33)_連携内容,連携施設(34)_連携先施設名,連携施設(34)_連携内容,連携施設(35)_連携先施設名,連携施設(35)_連携内容,連携施設(36)_連携先施設名,連携施設(36)_連携内容,連携施設(37)_連携先施設名,連携施設(37)_連携内容,連携施設(38)_連携先施設名,連携施設(38)_連携内容,連携施設(39)_連携先施設名,連携施設(39)_連携内容,連携施設(40)_連携先施設名,連携施設(40)_連携内容,連携施設(41)_連携先施設名,連携施設(41)_連携内容,連携施設(42)_連携先施設名,連携施設(42)_連携内容,連携施設(43)_連携先施設名,連携施設(43)_連携内容,連携施設(44)_連携先施設名,連携施設(44)_連携内容,連携施設(45)_連携先施設名,連携施設(45)_連携内容,連携施設(46)_連携先施設名,連携施設(46)_連携内容,連携施設(47)_連携先施設名,連携施設(47)_連携内容,連携施設(48)_連携先施設名,連携施設(48)_連携内容,連携施設(49)_連携先施設名,連携施設(49)_連携内容,連携施設(50)_連携先施設名,連携施設(50)_連携内容,連携施設(51)_連携先施設名,連携施設(51)_連携内容,連携施設(52)_連携先施設名,連携施設(52)_連携内容,連携施設(53)_連携先施設名,連携施設(53)_連携内容,連携施設(54)_連携先施設名,連携施設(54)_連携内容,連携施設(55)_連携先施設名,連携施設(55)_連携内容,連携施設(56)_連携先施設名,連携施設(56)_連携内容,連携施設(57)_連携先施設名,連携施設(57)_連携内容,連携施設(58)_連携先施設名,連携施設(58)_連携内容,連携施設(59)_連携先施設名,連携施設(59)_連携内容,連携施設(60)_連携先施設名,連携施設(60)_連携内容,連携施設(61)_連携先施設名,連携施設(61)_連携内容,連携施設(62)_連携先施設名,連携施設(62)_連携内容,連携施設(63)_連携先施設名,連携施設(63)_連携内容,連携施設(64)_連携先施設名,連携施設(64)_連携内容,連携施設(65)_連携先施設名,連携施設(65)_連携内容,連携施設(66)_連携先施設名,連携施設(66)_連携内容,連携施設(67)_連携先施設名,連携施設(67)_連携内容,連携施設(68)_連携先施設名,連携施設(68)_連携内容,連携施設(69)_連携先施設名,連携施設(69)_連携内容,連携施設(70)_連携先施設名,連携施設(70)_連携内容,連携施設(71)_連携先施設名,連携施設(71)_連携内容,連携施設(72)_連携先施設名,連携施設(72)_連携内容,連携施設(73)_連携先施設名,連携施設(73)_連携内容,連携施設(74)_連携先施設名,連携施設(74)_連携内容,連携施設(75)_連携先施設名,連携施設(75)_連携内容,連携施設(76)_連携先施設名,連携施設(76)_連携内容,連携施設(77)_連携先施設名,連携施設(77)_連携内容,連携施設(78)_連携先施設名,連携施設(78)_連携内容,連携施設(79)_連携先施設名,連携施設(79)_連携内容,連携施設(80)_連携先施設名,連携施設(80)_連携内容,連携施設(81)_連携先施設名,連携施設(81)_連携内容,連携施設(82)_連携先施設名,連携施設(82)_連携内容,連携施設(83)_連携先施設名,連携施設(83)_連携内容,連携施設(84)_連携先施設名,連携施設(84)_連携内容,連携施設(85)_連携先施設名,連携施設(85)_連携内容,連携施設(86)_連携先施設名,連携施設(86)_連携内容,連携施設(87)_連携先施設名,連携施設(87)_連携内容,連携施設(88)_連携先施設名,連携施設(88)_連携内容,連携施設(89)_連携先施設名,連携施設(89)_連携内容,連携施設(90)_連携先施設名,連携施設(90)_連携内容,連携施設(91)_連携先施設名,連携施設(91)_連携内容,連携施設(92)_連携先施設名,連携施設(92)_連携内容,連携施設(93)_連携先施設名,連携施設(93)_連携内容,連携施設(94)_連携先施設名,連携施設(94)_連携内容,連携施設(95)_連携先施設名,連携施設(95)_連携内容,連携施設(96)_連携先施設名,連携施設(96)_連携内容,連携施設(97)_連携先施設名,連携施設(97)_連携内容,連携施設(98)_連携先施設名,連携施設(98)_連携内容,連携施設(99)_連携先施設名,連携施設(99)_連携内容,保育教諭_従業者数_常勤,保育教諭_従業者数_非常勤,保育教諭_労働時間,保育教諭_平均経験年数_常勤,保育教諭_平均経験年数_非常勤,教諭又は保育士_従業者数_常勤,教諭又は保育士_従業者数_非常勤,教諭又は保育士_労働時間,教諭又は保育士_平均経験年数_常勤,教諭又は保育士_平均経験年数_非常勤,保育士_従業者数_常勤,保育士_従業者数_非常勤,保育士_労働時間,保育士_平均経験年数_常勤,保育士_平均経験年数_非常勤,保育従事者_従業者数_常勤,保育従事者_従業者数_非常勤,保育従事者_労働時間,保育従事者_平均経験年数_常勤,保育従事者_平均経験年数_非常勤,教諭_従業者数_常勤,教諭_従業者数_非常勤,教諭_労働時間,教諭_平均経験年数_常勤,教諭_平均経験年数_非常勤,家庭的保育者 又は家庭的保育補助者_従業者数_常勤,家庭的保育者 又は家庭的保育補助者_従業者数_非常勤,家庭的保育者 又は家庭的保育補助者_労働時間,家庭的保育者 又は家庭的保育補助者_平均経験年数_常勤,家庭的保育者 又は家庭的保育補助者_平均経験年数_非常勤,合計_従業者数_常勤,合計_従業者数_非常勤,職員一人当たりの子どもの数,有する免許・資格,有する免許・資格_その他,開所日_開所曜日,開所日_平日開所時間,開所日_平日閉所時間,開所日_土曜日開所時間,開所日_土曜日閉所時間,開所日_日祝日開所時間,開所日_日祝日閉所時間,開所時間2号3号_標準時間平日開始時刻,開所時間2号3号_標準時間平日終了時刻,開所時間2号3号_標準時間土曜開始時刻,開所時間2号3号_標準時間土曜終了時刻,開所時間2号3号_短時間平日開始時刻,開所時間2号3号_短時間平日終了時刻,開所時間2号3号_短時間土曜開始時刻,開所時間2号3号_短時間土曜終了時刻,預かり保育時間_平日開所,預かり保育時間_平日閉所,預かり保育時間_土曜日開所,預かり保育時間_土曜日閉所,預かり保育時間_日祝日開所,預かり保育時間_日祝日閉所,0歳_利用定員数,0歳_利用者数,0歳_学級数,1歳_利用定員数,1歳_利用者数,1歳_学級数,2歳_利用定員数,2歳_利用者数,2歳_学級数,3歳_利用定員数,3歳_利用者数,3歳_学級数,4歳_利用定員数,4歳_利用者数,4歳_学級数,5歳_利用定員数,5歳_利用者数,5歳_学級数,合計_利用定員数,合計_利用者数,合計_学級数,受入開始年齢コード（名称）,運営方法,教育・保育の内容等,給食の実施状況_実施状況,給食の実施状況_提供日,障害児の受け入れ体制,一時預かり事業の実施,病児保育事業の実施,利用手続き,選考基準,その他の利用,苦情に対する窓口状況,賠償すべき事故への対応,提供内容の特色,利用料_実費徴収_実費徴収の有無,利用料_実費徴収_理由,利用料_実費徴収_金額,利用料_上乗せ徴収_上乗せ徴収の有無,利用料_上乗せ徴収_理由,利用料_上乗せ徴収_金額,提供開始時の説明,利用者の同意,利用者負担の利用料に関する説明,相談、苦情等の対応のための取組,事故発生の防止及び発生時の対応,個人情報等の取組状況,第三者評価等の実施・結果の公表状況,第三者評価等の結果
営利法人（株式会社等）,らいくあかでみー,ライクアカデミー株式会社,1500043,東京都,渋谷区,道玄坂１－１２－１,,03-6431-9966,03-6431-9974,1420508000063 ,あり,保育所,にじいろほいくえんこまおか,にじいろ保育園駒岡,1410051026714 ,2300071,神奈川県,横浜市鶴見区,,,045-834-5197,,2021/3/31,2021/4/1,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,8,,,,,,,,,,,,,,,,,,7,3,,"保育士資格,幼稚園教諭免許,看護師免許,その他",管理栄養士調理師,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:00,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,0,0,0,8,7,1,10,10,1,15,11,1,15,2,1,15,1,1,63,31,5,,【運営情報】 ・受入可能年齢：1歳児～小学校就学児未満・休園日：日祝、年末年始（12/29～1/3）・保育標準時間（平日）7:30～18:30（延長保育時間：18:31～20:00）（土曜）7:00～18:00・保育短時間（平日）8:30～16:30（延長保育時間：7:00～8:29、16:31～20:00）（土曜）8:30～16:30（延長保育時間：7:00～8:29、16:31～18:00）【保育理念・方針】https://www.like-kn.co.jp/academy/about/index.html,「子どもの価値と権利」を、大人が「認め」、社会・地域・家庭環境の中で「お子さまそれぞれが」特別であり、大切であり、そして「幸せ」に生きることであるという考えのもと、子どもが主体で発達、月齢にあった遊びを工夫しています。保育者が、与える、数えることで成り立つのではなく、それをいかに自発的に導き、子ども達にひらめき・気づき・想像・創造する仕組みのある保育を組み立ててまいります。保育目標及び保育計画に沿って月間保育指導計画や週案をもとに　その時々の子ども達の状況を踏まえて見通しをもった保育を行います。,給食のみ実施,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",あり,なし,なし,,,,相談・苦情解決責任者：園長相談・苦情受付担当者：主任,"【総合賠償責任保険】＜施設・業務遂行リスク、製造物・完成作業リスク＞ 対人賠償1事故5億円対物賠償1事故5億円＜受託物リスク＞     対物賠償1事故1千万円【傷害保険】 死亡・後遺障害１百万円入院日額1,500円通院日額1,000円",,あり,"・シーツレンタル代：700円/月（希望者のみ）・月極延長保育料：利用する延長保育時間30分につき1,700円/月、850円/月（10日以内）・スポット延長保育料:利用した延長保育時間30分につき1,700円/月、850円/月（10日以内）・主食代：1,500円/月・副食代：4,500円/月・補食代：2,000円/月、100円/日（10日以内）・夕食提供：6,000円/月、300円/日（10日以内）・連絡帳代：57円/冊・帽子代：649円/個・フェリカカード代：110円/枚（1枚目は無料）・安心伝言板カード代：330円/枚（1枚目は無料）・おむつ定額サービス：3,000円/月（希望者のみ）",,なし,,,あり,あり,あり,"相談、苦情受付窓口の設置,相談、苦情内容の記録,相談、苦情に関する市町村実施事業への協力","事故発生時の対応及び事故発生防止のための指針の整備,事故発生時の報告及び改善策を周知徹底する体制の整備,事故発生防止のための定期的な研修の実施","秘密保持に係る規程の整備,秘密保持に係る研修の実施",未実施,
営利法人（株式会社等）,おくしいかぶしきがいしゃ,オクシイ株式会社,1510051,東京都,渋谷区,,,,,1311308200039 ,,保育所,まふぃすはくらくなーさりー,マフィス白楽ナーサリー,1410051026763 ,2210802,神奈川県,横浜市神奈川区,,,045-642-5006,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,20:00,7:30,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,3,,,9,,,9,,,11,,,11,,,11,,,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,がっけんここふぁんなーさりー,株式会社学研ココファン・ナーサリー,1418420,東京都,品川区,西五反田２－１１－８,学研ビル７Ｆ,03-6431-1861,03-6431-1864,1310908000021 ,なし,保育所,ここふぁんなーさりーつなしま,ココファン・ナーサリー綱島,1410051026623 ,2230052,神奈川県,横浜市港北区,,,045-642-3956,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"保育士資格,幼稚園教諭免許,看護師免許,その他",,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:00,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,6,,,8,,,10,,,12,,,12,,,12,,,60,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",なし,なし,なし,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,ぐろーばるきっず,株式会社グローバルキッズ,1020071,東京都,千代田区,富士見二丁目１４番３６号,,,,1310108000011 ,,保育所,ぐろーばるきっずひよしごちょうめえん,グローバルキッズ日吉五丁目園,1410051027043 ,2230061,神奈川県,横浜市港北区,日吉五丁目２９番１８号,,,,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,20:30,7:30,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,6,,,11,,,11,,,14,,,14,,,14,,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人,しゃかいふくしほうじんさつきふくしかい,社会福祉法人さつき福祉会,8880005,宮崎県,串間市,大字北方７３５８－２,,,,4520701100011 ,,保育所,えだきたほいくえん,荏田北保育園,1410051026995 ,2250015,神奈川県,横浜市青葉区,荏田北３丁目６－１４,,,,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:30,7:00,18:00,8:30,16:30,8:30,16:30,,,,,,,9,,,18,,,18,,,20,,,25,,,30,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,こいしかわ,株式会社コイシカワ,1870011,東京都,小平市,鈴木町１－１６２－２,,042-342-0331,045-620-0306,1321108000026 ,なし,保育所,こころきっず,こころキッズ,1410051026607 ,2210865,神奈川県,横浜市神奈川区,,,045-565-5785,,2021/3/31,2021/4/1,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"保育士資格,幼稚園教諭免許,看護師免許",,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,19:00,7:00,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,0,,,8,,,8,,,10,,,10,,,10,,,46,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",あり,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,かぶしきがいしゃきのしたのほいく,株式会社木下の保育,1631303,東京都,新宿区,西新宿６－５－１,新宿アイランドタワー８階,03-5908-2406,,1312111000020 ,なし,保育所,きのしたのほいくえんひよし,木下の保育園日吉,1410051026730 ,2230051,神奈川県,横浜市港北区,箕輪町３丁目494番１,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,20:30,7:30,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,6,,,8,,,10,,,12,,,12,,,12,,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
営利法人（株式会社等）,てのこーぽれーしょん,株式会社テノ．コーポレーション,8120036,福岡県,福岡市博多区,上呉服町上呉服町１０番１０号,呉服町ビジネスセンター５階,092-263-8040,03-3568-8345,4013008000027 ,なし,保育所,ほっぺるらんどよこはまおかの,ほっぺるランド横浜岡野,1410051013902 ,2200073,神奈川県,横浜市西区,岡野２－６－６,ＩＳＡビル２階,045-594-7142,,2014/4/1,2014/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,6,,,,,,,,,,,,,,,,,12,,,保育士資格,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,20:00,7:00,18:30,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,0,,0,10,,1,11,,1,13,,1,13,,1,13,,1,60,,5,,「子育て支援を通じて社会貢献する」という理念のもと、安全な環境の中で発達の保障（身体的・精神的発達）が得られるサービスを提供することで、お子さまには「健全な育ち」を、ご両親には「安心」を提供致します。詳しくは、登園ホームページ　URL：https://hoppel-land.com/introduces/171,児童福祉法に基づいて乳児及び幼児の保育事業を行うことを目的とし、家庭において保育を行うことが困難な児童の保育を事業内容とする認可保育所です。1歳児～2歳児：保育者に見守られながら過ごす中で安心して自分の気持ちを表す事が出来る生活の場の中で、探索活動を十分し、周囲の人や物への興味関心を広げ、意欲へとつなげる保育を提供します。3歳～5歳：個々の成長思いに寄り添うながら、友達や集団での遊びを通して他人の存在や立場を知り、思いを共有し合い、解決しようとする心と集団生活の中で意欲的に活動し、疑問や発見などによる事物への関心を深めるられる教育・保育を提供します。また、当園の利用者数は、横浜市のHPで公表しています。,給食のみ実施,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",あり,あり,なし,,,一時保育の利用申込：ご利用の前月25日～30日(31日)に予約を受け付けます。在園児の利用と調整をし、ご連絡致します。定員の空き状況・定期利用及び他のお子さまの健康状態・園の行事によりお預かり出来ない事があります。※初めての利用の方は、事前の面談（緊急連絡先・お子様の健康状態・予防接種の履歴・アレルギーの有無などの聞き取り）が必要です。,苦情解決責任者：園長苦情窓口：主任・第三者委員（町内会長・民生委員）※守秘義務によって秘密は厳守されますので安心してご相談ください。,事故の発生を未然に防ぐため、万全の注意を払っておりますが、万一の場合に備えて賠償保険に加入しています。（保育園加入）賠償保障・障害事故補償（任意個人加入）年額300円日本スポーツ振興センターの災害共済給付契約死亡・障害・負傷・疾病,保育理念子どもには、安全な環境の中で身体的・精神的発達が得られる養護と教育が一体となった保育を提供します。家庭のワークライフバランスを実現できる育児支援を行い、地域の人々や関係各機関と連携し、未来を担う子どもの成長を共に喜び合います。主な行事入園式、親子遠足、プール開き、夏祭り、夕涼み会（年長）運動会、保育参観、ハロウィン、おゆうぎ会、お月見会、お芋ほり遠足（幼児）、クリスマス会、節分の会、ひな祭り会、卒園式親子遠足やお芋ほり遠足はお弁当持参となります。幼児は英語レッスン・クッキングがあります。お誕生日会・身体測定・避難訓練は毎月行っています。定期健康診断・歯科検診は年2回行います。,あり,"購入する物：園帽子920円　3歳～お道具箱セット（粘土・クレヨン・はさみ・自由画帳等）3,730円　4歳～クーピー色鉛筆658円・ピアニカのマウスピース416円時間延長サービス料金◆対象：通常の保育時間内にお迎えが困難な場合に利用することができます。◆申込み：ご利用の前月10日までに、『時間延長サービス申込書』が必要となります。◆保育料金：30分あたり月額1,700円（月10日以内の場合は月額850円）※兄弟の減免制度（多子減免）、非課税世帯の方への減免制度があります。・19：30までお預かりするお子さまには、間食を提供します。・お子さまの健全な成長を考慮し、19時30分を超えてお預かりするお子さまには、必ず夕食を提供します。 ◆食事料金：間食代2,500円（月10日以内の場合は月額1,250円）夕食7,500円（月10日以内の場合は月3,750円）　給食費(3歳～)食事代：7,500円　3歳児以上　　　　　（主食代：1,200円＋副食代：4,500円）行事費等詳細は直接園にお問い合わせください。",,なし,,,あり,あり,あり,"相談、苦情受付窓口の設置,相談、苦情内容の記録","事故発生時の対応及び事故発生防止のための指針の整備,事故発生時の報告及び改善策を周知徹底する体制の整備,事故発生防止のための定期的な研修の実施","秘密保持に係る規程の整備,秘密保持に係る研修の実施,その他",実施（結果の公表有り）,
営利法人（株式会社等）,あぴかる,株式会社アピカル,8100044,福岡県,福岡市中央区,六本松２－１２－２５,,092-741-1833,045-334-7013,4013008000050 ,あり,保育所,あーすほいくえんつるみちゅうおう,あーす保育園鶴見中央,1410051026615 ,2300051,神奈川県,横浜市鶴見区,鶴見中央三丁目３番14号,,,,2021/3/31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:00,19:00,7:00,19:00,,,7:00,18:00,7:00,18:00,9:00,17:00,9:00,17:00,,,,,,,,,,6,,,9,,,12,,,12,,,12,,,51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
社会福祉法人,とうきょうあいせいかい,社会福祉法人東京愛成会,1460082,東京都,大田区,池上３－２９－８,,03-5747-4747,03-5747-4747,1311101000107 ,あり,保育所,あっぷるたきがしらほいくえん,あっぷる滝頭保育園,1410051026987 ,2350012,神奈川県,横浜市磯子区,滝頭１－２－１７,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7:30,18:30,7:30,18:30,8:30,16:30,8:30,16:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
その他の法人,きぎょうくみあいすかいういんぐ,企業組合スカイ・ウイング,2300051,神奈川県,横浜市鶴見区,鶴見中央五丁目１１番８号,,045-521-8880,,1410111100012 ,,保育所,ほいくえんすかいういんぐ,保育園スカイ・ウイング,1410051026771 ,2300051,神奈川県,横浜市鶴見区,鶴見中央五丁目１１番８号,,,,2021/4/1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"月曜日,火曜日,水曜日,木曜日,金曜日,土曜日",7:30,19:00,7:30,18:30,,,7:30,18:30,7:30,18:30,8:00,16:00,7:30,15:30,,,,,,,8,,,16,,,24,,,24,,,24,,,24,,,120,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
